LOG DE ACESSOS
26/09/2023 08:54:40 | 2804:14c:87e2:83a3:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/
26/09/2023 11:28:50 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:28:56 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:10 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:12 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:43:13 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:43:17 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:20 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:21 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:22 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:43:24 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:31 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:32 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:33 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:37 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:38 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:39 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:40 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:47:41 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:56:44 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:58:22 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:58:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:58:29 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:00:46 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:00:48 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 12:01:19 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:01:21 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:01:22 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:01:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 12:33:42 | 2804:14c:87e0:80a1:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/
26/09/2023 12:33:48 | 2804:14c:87e0:80a1:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 12:33:56 | 2804:14c:87e0:80a1:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 12:34:00 | 2804:14c:87e0:80a1:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 12:34:03 | 2804:14c:87e0:80a1:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/
26/09/2023 14:39:02 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 14:39:07 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:39:10 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:45:03 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 14:45:07 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:45:13 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:49:07 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:49:18 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:49:25 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 14:49:32 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 15:10:39 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 15:10:43 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:10:54 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:11:05 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:11:12 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:11:20 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:11:31 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 15:17:49 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 16:06:48 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:06:59 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:07:35 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:24 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:25 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:26 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:27 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:27 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:28 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:28 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:29 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:30 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:35 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:37 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:37 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:40 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:40 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:40 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:09:40 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:10:33 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:10:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:10:47 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 16:11:31 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:13:53 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:16:55 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:16:56 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:16:56 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:16:57 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:16:58 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:17:32 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:17:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 16:19:08 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:19:09 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:19:28 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:44:46 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:56:17 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 16:56:28 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/imagem.php
26/09/2023 16:57:54 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
26/09/2023 18:30:50 | 177.201.226.227 | 185.28.21.232/PokerComFalinhaC/
